geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
EL,Greece,2002,9413.404087651823,38.46,19996.487114612904,2811.9020660045453,3.922871741531747,102.64,7.3,0,1,2052140000,218001.90248838102,10902010,613000000
EL,Greece,2003,8775.155418920074,40.55,21104.70281166425,2631.87456544926,5.794531660755693,96.127,7.6,1,1,2023850000,230634.09174912,10928090,607000000
EL,Greece,2004,9357.860065146446,48.64,22118.02162793259,2818.7444263849234,5.060992492401784,104.829,7.9,1,1,2267470000,242306.465817462,10955160,683000000
EL,Greece,2005,8950.385135240598,65.99,22185.351855671022,2682.9863816546276,0.5991420365309907,97.782,8,1,0,2181730000,243758.22571140702,10987350,654000000
EL,Greece,2006,9285.63533352229,77.06,23369.091058269714,2784.0714120806233,5.652433535740652,101.338,8.5,0,0,2391390000,257536.497407645,11020390,717000000
EL,Greece,2007,8384.48021529836,80.23,24072.73299048704,2519.1039211882962,3.2737468757314705,100.971,8.1,0,1,2230000000,265967.590445396,11048500,670000000
EL,Greece,2008,7572.692129801751,99.98,23928.460921945396,2267.273092755015,-0.33517254306103167,101.295,8.3,1,0,2007340000.0000002,265076.14010878204,11077860,601000000
EL,Greece,2009,11724.723336218092,66,22839.24236977326,3563.6019123758206,-4.300733486682211,96.763,9.2,0,1,2974280000,253675.921785919,11107020,904000000
EL,Greece,2010,10154.848512413351,80.97,21560.277746401436,3056.9683562151627,-5.477808049268451,98.697,11.4,0,0,2434930000,239780.041723274,11121380,733000000
EL,Greece,2011,8171.775102108276,104.36,19400.736103895113,2427.5448598188236,-10.149314829868453,93.929,11.4,0,0,1760560000,215444.01038958898,11104940,523000000
EL,Greece,2012,8735.70617403362,106.34,18123.672738083624,2682.637312404816,-7.086696786380365,101.387,14.2,0,0,1748680000,200176.146628861,11045010,537000000
EL,Greece,2013,7488.32681244048,100.71,17796.259291046867,2249.670129860581,-2.5159972218961886,94.73,16.6,0,0,1461270000,195139.72034078,10965210,439000000
EL,Greece,2014,7772.864830303336,90.31,18000.472998710567,2335.924365508709,0.4756959471367055,99.93,16.4,0,0,1524010000,196067.992081695,10892380,458000000
EL,Greece,2015,9282.334736171595,49.66,18083.832783321828,2785.1092442267777,-0.1960876297237803,105.487,17.5,0,0,1816400000,195683.527003375,10820910,545000000
EL,Greece,2016,9697.981677055144,41.31,18070.765639734484,2911.7207985693685,-0.487173294302155,99.698,16.4,0,0,1888490000,194730.209118466,10775980,567000000
